,Unnamed: 0,id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,host_response_time,host_identity_verified,host_response_rate,host_is_superhost,nr_of_bathrooms,bedrooms,accommodates,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
317,550,1179134,6443329,Lisboa,Santa Maria Maior,38.71391,-9.13586,4,45,4,175,1.7,1,262,0,1,1,1.0,1,1.0,1.0,2,4.71,4.91,4.8,4.9,4.94,4.69
318,552,1184976,405842,Lisboa,Campolide,38.72706,-9.16373,4,50,28,10,0.11,6,316,0,1,1,1.0,0,1.0,2.0,3,4.22,3.56,4.44,5.0,4.44,4.33
319,553,1185656,5537580,Lisboa,Campo de Ourique,38.71933,-9.16686,4,250,2,110,1.19,1,207,3,1,1,0.75,1,3.5,5.0,11,4.8,4.88,4.93,4.95,4.57,4.74
320,554,1188395,5691663,Lisboa,Arroios,38.71561,-9.13886,4,64,1,79,0.85,65,330,23,1,1,1.0,1,1.0,1.0,2,4.67,4.85,4.76,4.85,4.73,4.67
321,557,1196860,6539213,Cascais,Cascais e Estoril,38.69944,-9.41799,4,103,4,151,1.47,1,337,12,1,1,1.0,1,1.0,2.0,6,4.74,4.74,4.92,4.95,4.88,4.76
322,558,1197060,3250665,Lisboa,Misericrdia,38.70883,-9.14657,4,54,2,231,2.27,12,0,0,1,1,1.0,0,1.0,2.0,6,4.64,4.72,4.85,4.93,4.82,4.68
323,561,1198570,3987199,Lisboa,So Vicente,38.71664,-9.12593,4,46,4,380,3.71,1,8,10,1,1,1.0,0,1.0,1.0,2,4.71,4.74,4.78,4.78,4.73,4.76
324,562,1199811,6552656,Lisboa,Santa Maria Maior,38.71054,-9.13008,4,85,3,203,2.06,4,302,4,1,1,1.0,0,2.0,3.0,6,4.56,4.68,4.69,4.79,4.85,4.66
325,563,1202634,118241230,Lisboa,Santo Antnio,38.71981,-9.14338,4,85,1,370,3.79,18,322,42,1,1,1.0,1,2.0,3.0,9,4.75,4.81,4.81,4.82,4.84,4.72
326,564,1204875,5297837,Lisboa,Santa Maria Maior,38.71231,-9.14011,4,130,5,205,2.26,1,201,5,1,1,1.0,1,1.0,2.0,6,4.93,4.8,4.96,4.96,4.98,4.81
327,566,1209286,6604033,Lisboa,Santa Maria Maior,38.71217,-9.12955,4,55,2,265,2.57,4,336,18,1,1,0.97,0,1.0,1.0,2,4.36,4.51,4.78,4.71,4.82,4.44
328,567,1214801,118241230,Lisboa,Santo Antnio,38.72268,-9.14295,4,66,1,327,3.36,18,340,46,1,1,1.0,1,1.0,1.0,3,4.72,4.79,4.85,4.82,4.75,4.64
329,568,1215943,823780,Lisboa,Santa Maria Maior,38.71007,-9.12852,4,79,3,204,2.02,2,135,7,1,1,1.0,1,1.0,3.0,5,4.76,4.72,4.9,4.92,4.85,4.78
330,569,1216499,6638070,Lisboa,So Vicente,38.71979,-9.12623,4,69,3,142,1.4,4,186,0,1,1,1.0,1,1.0,1.0,3,4.89,4.97,4.99,4.98,4.72,4.82
331,570,1216731,118241230,Lisboa,Santo Antnio,38.72179,-9.14397,4,61,1,215,2.22,18,348,28,1,1,1.0,1,1.0,1.0,4,4.76,4.84,4.79,4.83,4.7,4.69
