	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	host_response_time	host_identity_verified	host_response_rate	host_is_superhost	nr_of_bathrooms	bedrooms	accommodates	review_scores_rating	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value
9142	25883434	192342825	Sintra	S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim	38.82343	-9.44022	2	24	2	54	1.27	12	365	8	1	1	1.0	0	2.5	1.0	2	4.87	4.93	5.0	5.0	4.72	4.83
9143	25884072	193856817	Lisboa	Arroios	38.7322	-9.13451	2	22	1	43	1.01	14	342	0	1	1	1.0	0	2.0	1.0	3	4.6	4.7	4.63	4.63	4.58	4.56
9144	25884244	30866411	Lisboa	So Vicente	38.71882	-9.13306	2	28	1	186	4.37	4	5	69	1	1	1.0	1	1.0	1.0	2	4.75	4.61	4.92	4.94	4.83	4.72
9145	25884360	30866411	Lisboa	So Vicente	38.71874	-9.1332	2	29	1	224	5.27	4	6	67	1	1	1.0	1	1.0	1.0	2	4.75	4.57	4.88	4.92	4.86	4.77
9146	25887965	193856817	Lisboa	Arroios	38.73055	-9.13428	2	22	1	75	1.77	14	347	16	1	1	1.0	0	2.0	1.0	2	4.47	4.68	4.65	4.79	4.44	4.4
9147	25888144	2512404	Lisboa	Santa Maria Maior	38.7122	-9.12787	2	30	2	119	2.82	3	330	30	1	1	0.97	1	1.5	1.0	2	4.85	4.92	4.86	4.94	4.84	4.84
9148	25888222	2512404	Lisboa	So Vicente	38.71389	-9.12909	2	30	2	99	2.35	3	350	22	1	1	0.97	1	1.5	1.0	2	4.88	4.97	4.92	4.94	4.89	4.81
9149	25888536	193856817	Lisboa	Arroios	38.73264	-9.13459	2	90	1	3	0.07	14	0	0	1	1	1.0	0	2.0	1.0	6	3.67	4.33	3.33	4.67	4.0	3.67
9155	25905773	194683008	Alenquer	Carregado e Cadafais	39.03982	-8.96561	4	95	2	4	0.1	1	362	1	2	0	1.0	0	1.0	2.0	4	5.0	5.0	5.0	5.0	4.25	4.75
9157	25917772	194773017	Lisboa	Olivais	38.7776	-9.11816	2	60	2	48	1.13	4	180	0	2	1	0.9	0	1.0	1.0	2	4.96	4.98	4.91	4.94	4.79	4.98
9158	25918346	106937197	Cascais	Cascais e Estoril	38.69807	-9.42705	4	150	4	2	0.07	25	337	1	1	1	1.0	1	1.0	1.0	4	4.0	4.0	4.0	4.5	5.0	4.0
9160	25928431	193856817	Lisboa	Arroios	38.7326	-9.13432	1	13	1	8	0.19	14	342	1	1	1	1.0	0	2.0	1.0	1	4.75	4.88	4.63	4.5	4.63	4.5
9161	25929988	193856817	Lisboa	Arroios	38.73126	-9.13278	1	13	1	17	0.4	14	342	0	1	1	1.0	0	2.0	1.0	1	4.47	4.71	4.82	4.88	4.71	4.65
